provinsi;aal_gempa_500_bmn;aal_gempa_500_fd;aal_gempa_500_fs;aal_gempa_250_bmn;aal_gempa_250_fd;aal_gempa_250_fs;aal_gempa_100_bmn;aal_gempa_100_fd;aal_gempa_100_fs;aal_banjir_100_bmn;aal_banjir_100_fd;aal_banjir_100_fs;aal_banjir_50_bmn;aal_banjir_50_fd;aal_banjir_50_fs;aal_banjir_25_bmn;aal_banjir_25_fd;aal_banjir_25_fs;aal_gunungberapi_250_bmn;aal_gunungberapi_250_fd;aal_gunungberapi_250_fs;aal_gunungberapi_100_bmn;aal_gunungberapi_100_fd;aal_gunungberapi_100_fs;aal_gunungberapi_50_bmn;aal_gunungberapi_50_fd;aal_gunungberapi_50_fs;aal_longsor_5_bmn;aal_longsor_5_fd;aal_longsor_5_fs;aal_longsor_2_bmn;aal_longsor_2_fd;aal_longsor_2_fs;aal_gempa_500_total;aal_gempa_250_total;aal_gempa_100_total;aal_banjir_100_total;aal_banjir_50_total;aal_banjir_25_total;aal_gunungberapi_250_total;aal_gunungberapi_100_total;aal_gunungberapi_50_total;aal_longsor_5_total;aal_longsor_2_total
ACEH;605189073774.4341;416724360633.57025;34262351852.94521;1217985914512.157;829498868824.9056;68692870979.07347;3071882607522.948;1984556689972.2012;171533618535.1623;50328733388.330345;24696685016.66421;602344584.186982;66677597055.443855;37139898075.17875;1832855565.5553632;108469344005.66731;50189156041.905945;1419269597.3151014;30649529089.280838;21442488916.650673;1759628497.8861136;92888474519.36362;65015635290.22001;5332845617.735901;156424157494.05682;109486306313.42195;8980510091.44645;605778934026.7781;416897911106.6764;34317792046.882812;1213550696307.221;815424041069.3981;68194792107.703445;1056175786260.9496;2116177654316.136;5227972916030.312;75627762989.18153;105650350696.17796;160077769644.88834;53851646503.81763;163236955427.31952;274890973898.92523;1056994637180.3373;2097169529484.3225
BALI;400540138174.1908;356868355488.4166;170892803760.46393;808137334676.7352;718991524931.4774;327765590399.4472;2077369750370.751;1773915407767.1047;681827573659.9248;4863992089.048771;12127401168.637527;7311127937.209484;48590176601.88811;25920142638.48104;10263277050.168497;22019494933.325165;25698509257.04172;14946163869.064823;20325514289.46517;18285794746.726185;9135450469.508392;61599837657.22017;55376230456.581604;27686495792.087547;103734104334.89973;93324110430.33774;46624048900.03047;401265316271.6358;357646361612.69867;171130963792.0934;808870899200.3948;713429292216.948;313166953013.0745;928301297423.0713;1854894450007.66;4533112731797.78;24302521194.895782;84773596290.53764;62664168059.4317;47746759505.69975;144662563905.8893;243682263665.26794;930042641676.4279;1835467144430.4172
BANTEN;172937738440.53104;456083924179.43115;53131612352.77681;338531670240.32904;873659056763.1852;102068458091.3332;825330228436.0848;2121682568334.9104;244469036896.2515;14861050849.914917;23443352430.570484;4355279262.731118;20259161852.436653;27292048368.73925;4587109574.44186;29594087073.250732;42139563153.31463;9068634512.528776;9564906124.81347;27065674037.58467;4503449783.705295;28988032288.090473;82027008175.75842;13648450495.41863;48815835888.550606;138133452099.87662;22983985697.81818;174980906326.74622;468536040657.138;53875157406.84867;338095322365.4524;878538479192.8812;102067581196.28111;682153274972.739;1314259185094.8474;3191481833667.2466;42659682543.216515;52138319795.61777;80802284739.09415;41134029946.10343;124663490959.26752;209933273686.2454;697392104390.7329;1318701382754.6145
BENGKULU;22402323200.640938;127972920213.59625;6950642749.495065;38631499985.74686;223071690668.00107;11818909018.264523;77896175972.45615;435899405673.62103;22274810225.46556;2238782381.4362073;9240323449.51567;542221295.2470654;5516827939.22658;11462437944.516998;583926354.9765128;6341936869.164022;17526995717.3715;588434751.328913;1663195057.1423502;7986581948.795031;669359109.5369403;5040588102.873319;24204659447.99492;2028603650.3011374;8488348542.123598;40760637755.91335;3416167813.3875947;21857372616.221943;125191821820.43745;6781993495.219571;38063534720.16489;216464438632.8461;11419327462.787535;157325886163.73224;273522099672.01245;536070391871.5427;12021327126.198942;17563192238.72009;24457367337.864437;10319136115.474321;31273851201.169373;52665154111.424545;153831187931.87897;265947300815.79852
DAERAH ISTIMEWA YOGYAKARTA;210115801075.37152;139783916615.08496;29152327984.27127;426208443380.11304;283030192928.9438;58530112014.149704;946581778267.9702;619459261105.1378;128647744084.3096;13646826198.165098;10969922360.667192;1926924337.6379237;18714377628.47585;9663569946.80356;1806086037.1329951;20862413879.29014;16101494158.005247;3360169972.3937664;10655025929.379112;7113914591.522071;1474263268.341567;32291820917.093033;21559896478.103832;4467999023.321783;54379414744.85359;36306857871.193085;7524108739.256825;211435041922.42188;140479278574.4321;29255667895.076344;419209307781.3705;275080998463.1725;56749718593.33834;379052045674.7278;767768748323.2065;1694688783457.4175;26543672896.470215;30184033612.412407;40324078009.689156;19243203789.242752;58319716418.518654;98210381355.3035;381169988391.93036;751040024837.8813
DKI JAKARTA;1849642806222.3855;1994195915.740291;1167739803.2414918;3598541070921.6978;3491898495.2173185;2206804852.773544;8739471614216.898;7178578961.194578;4291837810.603765;113419486287.3792;100034606.56657472;198852791.3005294;259723380788.05057;26211857.729588345;203524909.42338;437966415308.7051;26016685.600529023;705935328.2354988;99116698864.62608;154905654.01835093;66333649.081833184;300389573037.5244;469467242.1972461;201035110.67219618;505855932348.1947;790582666.059975;338543053.660197;1858457433573.5574;2169348996.663068;1190999387.4308515;3597917954616.043;3536837163.791728;1975028129.1696029;1852804741941.3672;3604239774269.6885;8750942030988.696;113718373685.24629;259953117555.20352;438698367322.5411;99337938167.72627;301060075390.39386;506985058067.9149;1861817781957.6514;3603429819909.004
GORONTALO;49538490120.19234;81153147052.39688;0.0;99117702229.66125;150895760897.7719;0.0;255372199725.91614;352756219152.13837;0.0;3467572030.5838223;6087829940.215083;0.0;9718611763.631508;9027696306.613567;0.0;8362331239.54415;14430132354.468376;0.0;3137498560.634846;5303233397.519472;0.0;9508709065.484316;16072327208.70767;0.0;16012662627.099356;27065793206.312283;0.0;49540934143.26871;79812550496.18292;0.0;99669268445.20207;150266738177.82907;0.0;130691637172.58922;250013463127.43317;608128418878.0544;9555401970.798904;18746308070.245075;22792463594.012527;8440731958.154318;25581036274.191986;43078455833.41164;129353484639.45163;249936006623.03113
JAMBI;45976632257.99909;225586970923.23914;18956559306.61875;87150085954.72989;399041641506.6482;32613496867.87504;209265495513.723;846995515893.1647;69487087670.56374;32931370273.692066;11627560135.916904;786947741.8630354;46818681493.274086;14334366710.66499;762062267.616355;88839903569.79303;30700709212.839172;2046121215.7619472;8629448459.497026;12230997794.501102;1028965531.1157194;26152972889.44283;37068064689.39345;3118450474.0652976;44041596886.632034;62422607529.90232;5251469470.423038;45319886776.51146;219833057795.12512;18453886624.36938;87083244722.07352;394780027519.84576;32744646847.706425;290520162487.857;518805224329.2531;1125748099077.4514;45345878151.47201;61915110471.55543;121586733998.39415;21889411785.11385;66339488052.90157;111715673886.9574;283606831196.006;514607919089.62573
JAWA BARAT;928445801541.4806;685280873235.9263;232887725492.63525;1792035024149.8374;1335086855460.658;462932550073.89716;4033883707905.4443;3060854691867.148;1121076153466.165;89923461072.72408;37198842445.68833;12045799927.930027;66418972841.82321;41348308844.49129;15217940737.384123;102904588146.6961;63393702318.65436;17631288910.517433;47300851739.402245;35103662891.19869;12274879178.862705;143353065841.27213;106387464763.55568;37201054492.965096;241406511027.76532;179156452182.8673;62646562311.016304;925658687799.958;685086115532.2577;233366925360.04227;1748623935260.115;1307514144452.5696;459165967188.2004;1846614400270.042;3590054429684.392;8215814553238.757;139168103446.34244;122985222423.69862;183929579375.8679;94679393809.46364;286941585097.7929;483209525521.6489;1844111728692.258;3515304046900.885
JAWA TENGAH;577955984764.4553;815427401620.1887;136506557854.00354;1072083324762.4092;1597221517445.179;268990105932.42624;1841769935681.9763;3130505793277.1133;588623902700.1813;117112133581.78232;57081707143.172905;8257803507.100077;33367339382.36062;53261041510.76518;7106428154.100497;53762180518.3476;87839431574.76874;12822305658.92012;29223977847.93325;41447344179.30312;6893794676.328973;88568105362.23117;125613041638.57312;20892786615.695885;149148657396.06705;211532316686.7559;35183445104.183044;576449277764.5504;815657721349.596;136563019244.75403;994264616752.3546;1503574279382.5085;259121058067.16205;1529889944238.6475;2938294948140.014;5560899631659.271;182451644232.0553;93734809047.22629;154423917752.03644;77565116703.56535;235073933616.50018;395864419187.006;1528670018358.9004;2756959954202.0254
